"Año","Actividad","Sector","Tipo de precios","Código Departamento (DIVIPOLA)","Departamento","Valor (miles de millones de pesos)"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","18","Caquetá","425.21"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","85","Casanare","1,337.1"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","19","Cauca","1,177.53"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","20","Cesar","1,173.06"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","27","Chocó","307.96"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","23","Córdoba","1,441.57"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","25","Cundinamarca","4,635.46"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","94","Guainía","35.6"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","95","Guaviare","69.3"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","41","Huila","1,246.72"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","44","La Guajira","692.92"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","47","Magdalena","1,467.24"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","50","Meta","2,004.49"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","52","Nariño","1,600.61"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","54","Norte de Santander","1,610.09"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","86","Putumayo","270.53"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","63","Quindío","928.44"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","66","Risaralda","1,672.32"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","88","San Andrés, Providencia y Santa Catalina (Archipiélago)","473.48"
"2,005","Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida","Terciario","PIB a precios constantes de 2015","68","Santander","4,256.57"
